driver_age_band,driver_experience,time_of_day,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
31-50,5-10yr,Evening,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Owner,Owner,Unknown,Slight Injury
18-30,Below 1yr,Morning,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Afternoon,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Fatal Injury
18-30,Above 10yr,Afternoon,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Morning,Unknown,Automobile,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Over 51,5-10yr,Morning,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Afternoon,2-5yrs,Lorry,Normal,Other,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Public_transport,Normal,Gravel roads,Daylight,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Evening,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Above 10yr,Evening,Unknown,Other,Normal,Earth roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,Unknown,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Below 1yr,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
Under 18,Above 10yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Serious Injury
Under 18,5-10yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - no lighting,Employee,Owner,Unknown,Serious Injury
Over 51,1-2yr,Evening,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights unlit,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,Unknown,Other,Normal,Asphalt roads,Darkness - lights unlit,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Evening,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights unlit,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,2-5yrs,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Above 10yr,Other,Normal,Earth roads,Daylight,Unknown,Owner,Unknown,Slight Injury
18-30,Above 10yr,Afternoon,Unknown,Pickup,Normal,Asphalt roads,Daylight,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Night,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Night,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Night,Unknown,Public_transport,Normal,Earth roads,Darkness - lights lit,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
18-30,Above 10yr,Evening,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Employee,Governmental,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,Below 1yr,Afternoon,Unknown,Other,Normal,Asphalt roads,Daylight,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Unknown,Lorry,Normal,Asphalt roads,Daylight,Employee,Organization,Unknown,Serious Injury
Under 18,5-10yr,Morning,2-5yrs,Pickup,Normal,Asphalt roads,Daylight,Employee,Governmental,Unknown,Slight Injury
