driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Under 18,Above 10yr,Night,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Slight Injury
31-50,Above 10yr,Night,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Over 51,Unknown,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Evening,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Evening,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Darkness - no lighting,Male,Employee,Organization,Unknown,Slight Injury
18-30,2-5yr,Evening,Junior high school,1-2yr,Public_transport,Normal,Gravel roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Over 51,1-2yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Slight Injury
18-30,Above 10yr,Morning,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Lorry,Other,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,2-5yrs,Pickup,Raining,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,2-5yrs,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Below 1yr,Afternoon,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Owner,Owner,Unknown,Slight Injury
31-50,Unknown,Afternoon,Unknown,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Unknown,No defect,Slight Injury
31-50,Unknown,Night,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Governmental,Unknown,Serious Injury
18-30,1-2yr,Evening,Junior high school,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Evening,Junior high school,2-5yrs,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Serious Injury
18-30,Unknown,Afternoon,Unknown,Unknown,Other,Windy,Other,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Evening,Junior high school,Unknown,Pickup,Raining,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - no lighting,Female,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Above high school,Below 1yr,Automobile,Raining,Unknown,Darkness - lights lit,Unknown,Owner,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,2-5yrs,Lorry,Raining,Other,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
18-30,2-5yr,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads with some distress,Daylight,Male,Owner,Owner,5,Slight Injury
Over 51,2-5yr,Afternoon,High school,Above 10yr,Automobile,Normal,Unknown,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Unknown,Below 1yr,Evening,Junior high school,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Female,Unknown,Owner,No defect,Slight Injury
Over 51,1-2yr,Evening,High school,1-2yr,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,Above high school,2-5yrs,Automobile,Windy,Earth roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Junior high school,1-2yr,Lorry,Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Morning,High school,1-2yr,Automobile,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Unknown,Employee,Owner,7,Slight Injury
31-50,Above 10yr,Morning,High school,1-2yr,Pickup,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Elementary school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Evening,High school,Below 1yr,Motorcycle,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Serious Injury
18-30,2-5yr,Evening,High school,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
18-30,Above 10yr,Night,Above high school,Unknown,Automobile,Windy,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Above high school,Unknown,Automobile,Normal,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,Elementary school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,Unknown,Unknown,Taxi,Normal,Asphalt roads,Daylight,Female,Unknown,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,Elementary school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Morning,Junior high school,Unknown,Taxi,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,2-5yrs,Other,Raining,Asphalt roads,Darkness - no lighting,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Unknown,Employee,Owner,No defect,Slight Injury
31-50,Unknown,Afternoon,Illiterate,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Junior high school,Unknown,Other,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
