driver_age_band,driver_experience,time_of_day,driver_education,vehicle_service_year,vehicle_type,weather,road_surface,light_condition,driver_sex,driver_vehicle_relation,vehicle_owner,vehicle_defect,Accident_severity
Unknown,Above 10yr,Morning,Elementary school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,Below 1yr,Morning,Junior high school,Below 1yr,Taxi,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Above 10yr,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Above high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Serious Injury
18-30,Unknown,Evening,Unknown,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
31-50,1-2yr,Morning,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Junior high school,Above 10yr,Motorcycle,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Morning,Junior high school,Above 10yr,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Fatal Injury
31-50,2-5yr,Morning,Elementary school,5-10yrs,Motorcycle,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Fatal Injury
Unknown,Above 10yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Female,Owner,Owner,No defect,Slight Injury
Under 18,1-2yr,Afternoon,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Junior high school,5-10yrs,Taxi,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Unknown,Above 10yr,Evening,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,Above 10yr,Taxi,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Elementary school,5-10yrs,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Lorry,Cloudy,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Under 18,5-10yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Elementary school,Unknown,Other,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Unknown,Unknown,Slight Injury
18-30,5-10yr,Evening,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Below 1yr,Unknown,Normal,Asphalt roads,Daylight,Male,Owner,Governmental,No defect,Serious Injury
18-30,2-5yr,Afternoon,Elementary school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,Above 10yr,Afternoon,Elementary school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,2-5yr,Afternoon,Elementary school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Morning,Junior high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Morning,Junior high school,2-5yrs,Public_transport,Raining,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
31-50,1-2yr,Afternoon,Elementary school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Unknown,5-10yr,Afternoon,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Governmental,No defect,Slight Injury
Unknown,5-10yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Night,Junior high school,Below 1yr,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
Unknown,Below 1yr,Night,High school,5-10yrs,Other,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,Unknown,Slight Injury
Unknown,Unknown,Morning,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Unknown,Below 1yr,Morning,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Night,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Night,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Elementary school,2-5yrs,Motorcycle,Raining,Asphalt roads with some distress,Daylight,Male,Employee,Organization,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Unknown,Unknown,Automobile,Raining,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Illiterate,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,1-2yr,Unknown,Normal,Gravel roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Below 1yr,Evening,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,Above 10yr,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Slight Injury
Unknown,2-5yr,Afternoon,Elementary school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,5-10yr,Afternoon,Elementary school,5-10yrs,Bicycle,Normal,Asphalt roads,Daylight,Male,Employee,Organization,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Unknown,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
18-30,Unknown,Afternoon,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Morning,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Elementary school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Evening,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,Unknown,Fatal Injury
Unknown,5-10yr,Evening,High school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Unknown,Unknown,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Elementary school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,High school,1-2yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
Unknown,1-2yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Unknown,Employee,Owner,Unknown,Slight Injury
31-50,Unknown,Morning,Unknown,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
Unknown,5-10yr,Morning,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Above high school,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,1-2yr,Evening,Junior high school,2-5yrs,Pickup,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Above 10yr,Unknown,Normal,Asphalt roads with some distress,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,1-2yr,Evening,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,Unknown,Serious Injury
18-30,5-10yr,Evening,Above high school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Governmental,No defect,Serious Injury
18-30,Below 1yr,Afternoon,Elementary school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Over 51,Unknown,Afternoon,Unknown,5-10yrs,Pickup,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Over 51,Unknown,Morning,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Unknown,Owner,Unknown,Serious Injury
31-50,1-2yr,Evening,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,Unknown,Slight Injury
18-30,Unknown,Morning,Unknown,Unknown,Motorcycle,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
Unknown,5-10yr,Morning,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,2-5yr,Morning,Junior high school,Below 1yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Above high school,5-10yrs,Unknown,Raining,Unknown,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,2-5yr,Evening,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Over 51,5-10yr,Evening,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,2-5yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Unknown,2-5yr,Evening,High school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Serious Injury
Unknown,Unknown,Afternoon,Unknown,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Unknown,1-2yr,Evening,Junior high school,Above 10yr,Automobile,Raining,Asphalt roads,Daylight,Male,Owner,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,High school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Evening,Above high school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,1-2yr,Afternoon,High school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
18-30,2-5yr,Afternoon,Junior high school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Afternoon,Above high school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Other,Owner,No defect,Slight Injury
Over 51,Above 10yr,Afternoon,High school,5-10yrs,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,Elementary school,Unknown,Public_transport,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Evening,High school,Unknown,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
18-30,2-5yr,Evening,High school,Above 10yr,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Evening,Above high school,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,Above high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
Unknown,5-10yr,Evening,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Unknown,Morning,Junior high school,Below 1yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Unknown,Unknown,Afternoon,Unknown,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Female,Unknown,Owner,No defect,Slight Injury
Over 51,5-10yr,Afternoon,Elementary school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,2-5yr,Evening,Junior high school,1-2yr,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Evening,Junior high school,2-5yrs,Taxi,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Evening,High school,Unknown,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
Unknown,1-2yr,Morning,Junior high school,Unknown,Automobile,Raining,Asphalt roads,Daylight,Female,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Pickup,Raining,Asphalt roads,Daylight,Male,Employee,Owner,7,Slight Injury
18-30,5-10yr,Afternoon,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,5,Serious Injury
31-50,1-2yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
31-50,2-5yr,Morning,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,Above 10yr,Afternoon,Junior high school,Unknown,Automobile,Unknown,Asphalt roads,Daylight,Female,Employee,Owner,No defect,Slight Injury
31-50,1-2yr,Afternoon,Junior high school,Unknown,Automobile,Unknown,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Afternoon,Junior high school,Below 1yr,Automobile,Unknown,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Afternoon,Junior high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Afternoon,Junior high school,5-10yrs,Taxi,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
31-50,5-10yr,Night,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Slight Injury
18-30,Unknown,Night,Unknown,Unknown,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,No defect,Slight Injury
31-50,1-2yr,Morning,Elementary school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Elementary school,5-10yrs,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Morning,Elementary school,2-5yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Slight Injury
Over 51,5-10yr,Morning,Junior high school,Above 10yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Over 51,2-5yr,Afternoon,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Serious Injury
Over 51,1-2yr,Morning,Junior high school,1-2yr,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Unknown,5-10yr,Night,Junior high school,Unknown,Public_transport,Unknown,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Serious Injury
Over 51,Below 1yr,Evening,Junior high school,Above 10yr,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Organization,Unknown,Slight Injury
18-30,5-10yr,Morning,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,5-10yr,Afternoon,Above high school,1-2yr,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Above 10yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,Below 1yr,Evening,Junior high school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,2-5yr,Morning,Elementary school,Unknown,Bajaj,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,1-2yr,Evening,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Junior high school,5-10yrs,Unknown,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Over 51,2-5yr,Morning,Junior high school,Unknown,Unknown,Raining,Asphalt roads,Daylight,Male,Employee,Unknown,Unknown,Slight Injury
18-30,Above 10yr,Morning,Junior high school,5-10yrs,Automobile,Raining,Earth roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,High school,Unknown,Lorry,Raining,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
31-50,5-10yr,Afternoon,High school,Unknown,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Morning,Junior high school,5-10yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,2-5yr,Morning,Elementary school,5-10yrs,Unknown,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
31-50,5-10yr,Afternoon,Junior high school,2-5yrs,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,5-10yr,Afternoon,High school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Owner,Unknown,No defect,Slight Injury
18-30,Above 10yr,Afternoon,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Above 10yr,Automobile,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
18-30,Below 1yr,Afternoon,Junior high school,Unknown,Pickup,Normal,Asphalt roads,Daylight,Male,Other,Owner,Unknown,Slight Injury
Over 51,Above 10yr,Morning,Junior high school,Unknown,Lorry,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Slight Injury
Over 51,5-10yr,Evening,High school,2-5yrs,Public_transport,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Serious Injury
Over 51,5-10yr,Evening,Elementary school,Unknown,Lorry,Normal,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,No defect,Serious Injury
Over 51,2-5yr,Evening,Junior high school,5-10yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,No defect,Serious Injury
Over 51,2-5yr,Evening,Junior high school,2-5yrs,Automobile,Normal,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Serious Injury
31-50,5-10yr,Afternoon,Above high school,5-10yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Serious Injury
Under 18,2-5yr,Night,Junior high school,Unknown,Unknown,Raining,Asphalt roads,Darkness - lights lit,Male,Owner,Owner,Unknown,Slight Injury
31-50,Unknown,Night,Unknown,Unknown,Lorry,Raining,Asphalt roads,Darkness - lights lit,Male,Unknown,Owner,Unknown,Slight Injury
Unknown,2-5yr,Night,Junior high school,Unknown,Public_transport,Raining,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,5-10yr,Evening,Junior high school,Unknown,Public_transport,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Slight Injury
18-30,1-2yr,Evening,Elementary school,2-5yrs,Other,Normal,Asphalt roads,Daylight,Male,Employee,Governmental,Unknown,Slight Injury
18-30,1-2yr,Evening,Junior high school,Unknown,Public_transport,Other,Asphalt roads,Darkness - lights lit,Male,Owner,Unknown,Unknown,Slight Injury
18-30,2-5yr,Evening,Junior high school,Unknown,Lorry,Other,Asphalt roads,Darkness - lights lit,Male,Employee,Owner,Unknown,Slight Injury
Unknown,2-5yr,Evening,Junior high school,Unknown,Other,Other,Asphalt roads,Darkness - lights lit,Female,Employee,Owner,No defect,Slight Injury
Unknown,2-5yr,Morning,Junior high school,Unknown,Lorry,Unknown,Asphalt roads,Daylight,Male,Employee,Governmental,No defect,Serious Injury
18-30,2-5yr,Afternoon,Junior high school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,No defect,Slight Injury
Under 18,2-5yr,Afternoon,Elementary school,Unknown,Other,Normal,Asphalt roads,Daylight,Male,Employee,Owner,Unknown,Fatal Injury
